day,ntweets
2020-09-28,2088198
2020-09-29,2107743
2020-09-30,2205797
2020-10-01,2265507
2020-10-02,2203064
2020-10-03,2175983
2020-10-04,2487453
2020-10-05,2234616
2020-10-06,2136563
2020-10-07,2070724
2020-10-08,2164306
2020-10-09,2118509
2020-10-10,1990890
2020-10-11,1912049
2020-10-12,2083809
2020-10-13,2066915
2020-10-14,2176314
2020-10-15,1975072
2020-10-16,2226418
2020-10-17,2281325
2020-10-18,2016231
2020-10-19,2036521
2020-10-20,2307163
2020-10-21,2280248
2020-10-22,2278426
2020-10-23,2346997
2020-10-24,2292836
2020-10-25,2075942
2020-10-26,2082981
2020-10-27,2158012
2020-10-28,2178467
2020-10-29,2259544
2020-10-30,2234616
2020-10-31,2757846
2020-11-01,2258881
2020-11-02,2116770
2020-11-03,2257556
2020-11-04,2454409
2020-11-05,2454741
2020-11-06,2507412
2020-11-07,2784761
2020-11-08,2343436
2020-11-09,2248944
2020-11-10,2298716
2020-11-11,2296066
2020-11-12,2372587
2020-11-13,2435031
2020-11-14,2112215
2020-11-15,2219958
2020-11-16,2157267
2020-11-17,2237598
2020-11-18,2323561
2020-11-19,2375569
2020-11-20,2345093
2020-11-21,2201656
2020-11-22,2090103
2020-11-23,2145258
2020-11-24,2249192
2020-11-25,2244637
2020-11-26,2251345
2020-11-27,2305921
2020-11-28,2158757
2020-11-29,2202815
2020-11-30,2277929
2020-12-01,2262277
2020-12-02,2362981
2020-12-03,2162484
2020-12-04,2175569
2020-12-05,2071469
2020-12-06,2140455
2020-12-07,2027412
2020-12-08,2229730
2020-12-09,2115693
2020-12-10,2168778
2020-12-11,2242401
2020-12-12,2160248
2020-12-13,2151138
2020-12-14,2087370
2020-12-15,2172919
2020-12-16,2375072
2020-12-17,2219544
2020-12-18,2203064
2020-12-19,2541863
2020-12-20,2320662
2020-12-21,2252670
2020-12-22,2190973
2020-12-23,2239585
2020-12-24,2235859
2020-12-25,1731759
2020-12-26,1932256
2020-12-27,1916024
2020-12-28,2024761
2020-12-29,2274285
2020-12-30,2398674
2020-12-31,2559171
2021-01-01,2427494
2021-01-02,2341449
2021-01-03,2262525
2021-01-04,2739461
2021-01-05,2377805
