day,male,female
2021-06-18,427,339
2021-06-19,298,223
2021-06-20,305,234
2021-06-21,360,250
2021-06-22,337,263
2021-06-23,339,267
2021-06-24,350,255
2021-06-25,306,293
2021-06-26,333,239
2021-06-27,273,232
2021-06-28,362,291
2021-06-29,467,313
2021-06-30,361,292
2021-07-01,369,300
2021-07-02,382,351
2021-07-03,384,325
2021-07-04,306,252
2021-07-05,324,319
2021-07-06,375,275
2021-07-07,500,354
