day,male,female
2020-09-11,768364,415238
2020-09-12,788654,375734
2020-09-13,704265,373167
2020-09-14,740952,403146
2020-09-15,761242,412753
2020-09-16,774492,422691
2020-09-17,785507,407287
2020-09-18,783768,409275
2020-09-19,816811,382277
2020-09-20,753457,380041
2020-09-21,717101,392298
2020-09-22,812670,456066
2020-09-23,749896,413581
2020-09-24,746086,409772
2020-09-25,731345,432546
2020-09-26,812256,387826
2020-09-27,791635,387246
2020-09-28,715942,393788
2020-09-29,723064,408861
2020-09-30,769275,417308
2020-10-01,785093,443064
2020-10-02,772422,423436
2020-10-03,825341,393540
2020-10-04,985258,431304
2020-10-05,798012,406625
2020-10-06,741035,416894
2020-10-07,707660,409440
2020-10-08,751138,433706
2020-10-09,734161,424927
2020-10-10,700041,410351
2020-10-11,688447,391387
2020-10-12,701035,415486
2020-10-13,682898,417060
2020-10-14,754616,421035
2020-10-15,657722,400331
2020-10-16,769855,442815
2020-10-17,884306,418136
2020-10-18,742277,382939
2020-10-19,684057,409358
2020-10-20,811097,436438
2020-10-21,776397,454741
2020-10-22,769358,445879
2020-10-23,824265,462608
2020-10-24,851511,442318
2020-10-25,749565,396687
2020-10-26,675693,407122
2020-10-27,724886,427660
2020-10-28,735734,419710
2020-10-29,770269,450931
2020-10-30,767619,443892
2020-10-31,1058964,550724
2020-11-01,833706,442070
2020-11-02,726211,410766
2020-11-03,788322,448861
2020-11-04,880828,486625
2020-11-05,863105,499461
2020-11-06,890103,511966
2020-11-07,1074948,568612
2020-11-08,867080,458219
2020-11-09,770020,447204
2020-11-10,779875,460786
2020-11-11,772753,450600
2020-11-12,843312,468985
2020-11-13,849606,487287
2020-11-14,759089,437515
2020-11-15,823354,439834
2020-11-16,727619,440993
2020-11-17,748322,452753
2020-11-18,813913,459130
2020-11-19,824347,463602
2020-11-20,802815,467908
2020-11-21,837763,425921
2020-11-22,773084,404389
2020-11-23,725300,433954
2020-11-24,758095,444968
2020-11-25,759337,459130
2020-11-26,795362,440414
2020-11-27,766542,481159
2020-11-28,824182,407287
2020-11-29,819958,424927
2020-11-30,738964,477929
2020-12-01,770848,457474
2020-12-02,811511,470724
2020-12-03,734658,442567
2020-12-04,737805,440579
2020-12-05,779461,382277
2020-12-06,786749,400910
2020-12-07,680993,391801
2020-12-08,775486,415983
2020-12-09,705838,411842
2020-12-10,730103,421366
2020-12-11,776314,445879
2020-12-12,822360,399089
2020-12-13,796107,407039
2020-12-14,705755,407122
2020-12-15,755113,425672
2020-12-16,839917,440082
2020-12-17,766211,437763
2020-12-18,741614,445300
2020-12-19,969358,482981
2020-12-20,903850,432795
2020-12-21,786169,447950
2020-12-22,775817,417225
2020-12-23,812422,425921
2020-12-24,832215,446873
2020-12-25,613250,342608
2020-12-26,733913,338964
2020-12-27,714285,355031
2020-12-28,738467,385672
2020-12-29,853498,422608
2020-12-30,900952,462608
2020-12-31,942028,522153
2021-01-01,901035,485631
2021-01-02,916604,441325
2021-01-03,840165,435445
2021-01-04,990144,566542
2021-01-05,848944,479585
2021-01-06,969689,529440
2021-01-07,827246,450766
2021-01-08,901532,483892
2021-01-09,922318,467743
2021-01-10,859958,450517
2021-01-11,845962,461863
2021-01-12,893995,472298
2021-01-13,861118,472712
2021-01-14,818136,464099
