"date","n","mnfear","mnjoy","mnsadness"
"2019-08-17",9962,0.0541008449365743,0.495389116548621,0.144616540400516
"2019-08-18",9971,0.0627189165258723,0.464022867691546,0.160290803913985
"2019-08-19",9979,0.0662408439438205,0.490383242095213,0.145909658240657
"2019-08-20",9980,0.0617077320016081,0.479353995032581,0.148360739493923
"2019-08-21",9973,0.0607696982018965,0.485317767406796,0.148419076263734
"2019-08-22",9975,0.0587423210084919,0.503054965781661,0.146655999318379
"2019-08-23",9961,0.0600868715034951,0.508703933788113,0.145624433318455
"2019-08-24",9978,0.0579853316616549,0.513127381428437,0.145665398308009
"2019-08-25",9982,0.0591898391667131,0.485149541973387,0.153263795115048
"2019-08-26",9970,0.0593225873702515,0.493782805131825,0.146762630660176
"2019-08-27",9977,0.0602220866739958,0.485638552755706,0.152937088396708
