"gender","date","n","mnfear","mnjoy","mnsadness"
"female","2019-08-13",1909,0.0663356156226049,0.52936790641804,0.178683327569435
"female","2019-08-14",1907,0.0572499549906412,0.557913142072628,0.170174989579626
"female","2019-08-15",1885,0.0647854586597069,0.553550425738829,0.167553208563082
"female","2019-08-16",1896,0.066884196641503,0.557679305986995,0.166091107068665
"female","2019-08-17",1885,0.0603038078119956,0.549077400687739,0.173479204044359
"female","2019-08-18",1964,0.0657214130070276,0.5429258097358,0.178191713727499
"female","2019-08-19",1911,0.0663696684676487,0.542577774707436,0.162117542001949
"female","2019-08-20",1971,0.0688187850969156,0.53743491062815,0.167363325105215
"female","2019-08-21",1945,0.0700635637758793,0.547575673520216,0.157357708111784
"female","2019-08-22",1880,0.0650662117782594,0.557079038620515,0.157452259684091
