day,male,female
2020-08-01,70,90
2020-08-02,77,110
2020-08-03,72,111
2020-08-04,90,117
2020-08-05,70,83
2020-08-06,82,106
2020-08-07,68,101
2020-08-08,67,86
2020-08-09,62,93
2020-08-10,65,109
2020-08-11,78,96
2020-08-12,86,103
2020-08-13,87,124
2020-08-14,84,139
2020-08-15,74,120
2020-08-16,77,85
2020-08-17,76,109
2020-08-18,77,93
2020-08-19,81,114
2020-08-20,77,122
2020-08-21,106,122
2020-08-22,70,105
2020-08-23,65,84
2020-08-24,75,91
2020-08-25,74,109
2020-08-26,81,113
2020-08-27,108,101
2020-08-28,87,104
2020-08-29,121,163
2020-08-30,72,96
2020-08-31,71,116
2020-09-01,62,126
2020-09-02,63,103
2020-09-03,97,142
2020-09-04,90,110
2020-09-05,58,91
2020-09-06,61,93
2020-09-07,65,119
2020-09-08,85,120
2020-09-09,87,120
2020-09-10,91,127
2020-09-11,86,99
2020-09-12,86,111
2020-09-13,97,78
2020-09-14,75,123
2020-09-15,84,99
2020-09-16,98,117
2020-09-17,77,99
2020-09-18,92,96
2020-09-19,101,130
2020-09-20,79,80
2020-09-21,58,82
2020-09-22,89,123
2020-09-23,77,114
2020-09-24,89,107
2020-09-25,111,135
2020-09-26,74,96
2020-09-27,60,112
2020-09-28,60,101
2020-09-29,75,115
2020-09-30,95,118
2020-10-01,96,146
2020-10-02,87,128
2020-10-03,65,90
2020-10-04,96,126
2020-10-05,100,107
2020-10-06,76,140
2020-10-07,100,112
2020-10-08,88,111
2020-10-09,78,99
2020-10-10,79,90
2020-10-11,62,95
2020-10-12,81,91
2020-10-13,72,112
2020-10-14,75,100
2020-10-15,83,127
2020-10-16,77,99
2020-10-17,83,106
2020-10-18,74,108
2020-10-19,63,108
2020-10-20,67,124
2020-10-21,92,126
2020-10-22,98,122
2020-10-23,91,93
2020-10-24,76,71
2020-10-25,60,91
2020-10-26,67,108
2020-10-27,88,96
2020-10-28,73,96
2020-10-29,78,139
2020-10-30,84,116
2020-10-31,118,187
2020-11-01,88,134
2020-11-02,74,105
2020-11-03,93,140
2020-11-04,57,113
2020-11-05,75,125
2020-11-06,79,118
2020-11-07,97,103
