day,male,female
2020-06-15,320390,212334
2020-06-16,357814,234540
2020-06-17,377044,231898
2020-06-18,348684,232701
2020-06-19,368482,236513
2020-06-20,323434,195712
2020-06-21,320156,195077
2020-06-22,307046,204842
2020-06-23,340590,213437
2020-06-24,348984,218788
2020-06-25,398582,232467
2020-06-26,365238,240727
2020-06-27,344737,217216
2020-06-28,311996,208354
2020-06-29,319487,216113
2020-06-30,343868,224975
2020-07-01,368215,239824
2020-07-02,354436,228219
2020-07-03,347714,235945
2020-07-04,342998,211364
2020-07-05,313969,194876
2020-07-06,310257,204608
2020-07-07,324805,221029
2020-07-08,342630,221330
2020-07-09,337212,223671
2020-07-10,325741,216681
2020-07-11,300090,178422
2020-07-12,300658,176147
2020-07-13,315073,196046
2020-07-14,319086,208588
2020-07-15,342731,216246
2020-07-16,332664,206247
2020-07-17,338650,208354
2020-07-18,302832,175846
2020-07-19,291328,174141
2020-07-20,288585,187017
2020-07-21,311528,195946
2020-07-22,362429,209190
2020-07-23,324470,214641
2020-07-24,334202,207618
2020-07-25,289655,182970
2020-07-26,322698,182067
2020-07-27,268552,174174
2020-07-28,274806,178154
2020-07-29,302063,192970
2020-07-30,315039,195980
2020-07-31,323133,204240
2020-08-01,310424,176081
2020-08-02,276713,172368
2020-08-03,277248,181933
2020-08-04,304571,192234
2020-08-05,303802,196949
2020-08-06,307213,192802
2020-08-07,316644,203070
2020-08-08,277850,165713
2020-08-09,274673,171666
2020-08-10,288652,188488
2020-08-11,314236,200595
2020-08-12,322765,207484
2020-08-13,325641,219357
2020-08-14,337313,206849
2020-08-15,301996,176081
2020-08-16,298819,179793
2020-08-17,297983,193572
2020-08-18,289689,189592
2020-08-19,316511,199759
2020-08-20,301996,200862
2020-08-21,311227,196113
2020-08-22,289388,164275
2020-08-23,285809,172201
2020-08-24,277348,175846
2020-08-25,321694,193204
2020-08-26,309655,190093
2020-08-27,303802,188856
2020-08-28,313367,193204
2020-08-29,282432,167920
2020-08-30,262800,158121
2020-08-31,274606,169760
