day,male,female
2020-11-28,51768,27901
2020-11-29,52182,29093
2020-11-30,46561,32807
2020-12-01,49276,29303
2020-12-02,48838,29278
2020-12-03,43446,27400
2020-12-04,42964,27166
2020-12-05,46862,23871
2020-12-06,50970,25930
2020-12-07,43207,25132
2020-12-08,49782,27648
2020-12-09,44784,26801
2020-12-10,47704,27770
2020-12-11,50921,31396
2020-12-12,52980,26913
2020-12-13,51812,27935
2020-12-14,48283,28836
2020-12-15,47660,28592
2020-12-16,53252,29376
2020-12-17,47407,28675
2020-12-18,46726,29605
2020-12-19,65629,39032
2020-12-20,59210,34243
2020-12-21,53569,31785
2020-12-22,50561,29780
2020-12-23,50537,29634
2020-12-24,49846,27901
2020-12-25,30855,18644
2020-12-26,46648,22041
2020-12-27,47622,23652
2020-12-28,46989,27040
2020-12-29,53345,29264
2020-12-30,58952,33522
2020-12-31,56810,33542
2021-01-01,51228,30227
2021-01-02,57282,30427
2021-01-03,56757,32374
2021-01-04,65911,40346
2021-01-05,53618,34286
2021-01-06,63804,36379
2021-01-07,50118,28354
2021-01-08,56270,31877
2021-01-09,57112,30344
2021-01-10,53403,28801
2021-01-11,53486,31975
2021-01-12,55842,32967
2021-01-13,56177,33834
2021-01-14,51841,31503
2021-01-15,49461,30768
2021-01-16,53895,29361
2021-01-17,50989,29045
2021-01-18,48488,29940
2021-01-19,53827,31731
2021-01-20,57394,35026
2021-01-21,53700,32573
2021-01-22,53175,31980
2021-01-23,53661,29035
2021-01-24,53914,29424
2021-01-25,50503,29259
2021-01-26,59716,35255
2021-01-27,63682,36004
2021-01-28,53841,30919
2021-01-29,48994,29814
2021-01-30,57837,29454
2021-01-31,49919,29945
2021-02-01,48391,29035
2021-02-02,60178,36243
2021-02-03,53802,30938
2021-02-04,51106,30013
2021-02-05,45548,28704
2021-02-06,56893,28933
2021-02-07,52951,28962
2021-02-08,44137,26962
2021-02-09,47768,29595
2021-02-10,47295,29230
2021-02-11,46166,28310
2021-02-12,45115,29157
2021-02-13,55584,28826
2021-02-14,52303,27361
2021-02-15,43529,26280
2021-02-16,45933,29025
2021-02-17,46483,27989
2021-02-18,47534,27935
2021-02-19,49111,29809
2021-02-20,57243,29303
2021-02-21,54966,27950
2021-02-22,47743,28690
2021-02-23,50488,27960
2021-02-24,47514,27974
2021-02-25,47485,27833
2021-02-26,46351,29050
2021-02-27,51087,25570
2021-02-28,46892,25750
2021-03-01,41601,26918
2021-03-02,46969,27312
2021-03-03,51106,29974
2021-03-04,52177,29390
2021-03-05,50688,29342
2021-03-06,51851,26748
2021-03-07,52347,26519
2021-03-08,46994,31284
2021-03-09,48060,29697
