day,Sad
2022-02-10,4.018680101580685e-06
2022-02-17,6.6565248744154815e-06
2022-02-24,4.79551908938447e-06
2022-03-03,5.076779871160397e-06
2022-03-10,9.474904800299557e-06
2022-03-17,2.77513800028828e-06
2022-03-24,1.2128105481679086e-05
2022-03-31,1.9587955648603383e-06
2022-04-07,8.093020369415171e-06
2022-04-14,6.805993052694248e-06
2022-04-21,5.398350367613602e-06
2022-04-28,3.876808023051126e-06
2022-05-05,5.590548425971065e-06
2022-05-12,4.733096375275636e-06
2022-05-19,3.6883361644868273e-06
2022-05-26,6.78765991324326e-06
2022-06-02,1.3794384358334357e-05
2022-06-09,6.327154096652521e-06
2022-06-16,1.393225829815492e-05
2022-06-23,3.606794734878349e-06
2022-06-30,7.4832141763181426e-06
2022-07-07,7.300924153241794e-06
2022-07-14,3.026809054063051e-06
2022-07-21,5.3293506425688975e-06
2022-07-28,1.5263964087353088e-05
2022-08-04,2.11556607609964e-06
2022-08-11,4.393726158014033e-06
2022-08-18,3.935087534046033e-06
2022-08-25,5.54277630726574e-06
2022-09-01,3.4847362258005887e-06
2022-09-08,5.985022198728984e-06
2022-09-15,5.142124791746028e-06
2022-09-22,2.712359901124728e-06
2022-09-29,4.818362867808901e-06
2022-10-06,1.5606845408910885e-05
2022-10-13,4.497980171436211e-06
2022-10-20,3.2283553537126863e-06
2022-10-27,7.138944056350738e-06
2022-11-03,1.0281504728482105e-05
2022-11-10,1.3243177818367258e-05
2022-11-17,4.0209092730947305e-06
2022-11-24,3.8748871702409815e-06
2022-12-01,8.019248525670264e-06
2022-12-08,5.637593858409673e-06
2022-12-15,4.245456239004852e-06
2022-12-22,6.23445112069021e-06
2022-12-29,5.441160283226054e-06
2023-01-05,6.109627975092735e-06
2023-01-05,6.441805453505367e-06
2023-01-12,1.548179534438532e-05
2023-01-19,7.677283974771854e-06
2023-01-26,9.321582183474677e-06
2023-02-02,5.933417924097739e-06
2023-02-09,8.553382940590382e-06
2023-02-16,7.22824142940226e-06
2023-02-23,3.856569037452573e-06
2023-03-02,4.690996775025269e-06
2023-03-09,2.0320680960139725e-06
2023-03-16,3.994685357611161e-06
